,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
0,Granit,Xhaka,7,8,153,2992,35,673.3,647.0,498.0,15,634,182.0,13,0,4,2.7,48,MID
1,Mohamed,Elneny,0,0,6,111,2,5.4,4.6,0.0,0,27,1.1,0,0,0,0.6,41,MID
2,Rob,Holding,1,0,21,562,13,10.3,152.0,54.0,0,120,21.6,0,0,0,0.2,42,DEF
3,Thomas,Partey,3,0,86,2480,28,439.6,513.2,240.0,6,468,119.5,11,0,5,0.4,47,MID
4,Martin,Ødegaard,15,8,212,3132,38,1100.4,960.0,920.0,30,813,298.3,13,0,4,33.3,69,MID
5,Kieran,Tierney,0,1,37,774,10,85.5,144.0,67.0,0,164,29.9,1,0,0,0.8,46,DEF
6,Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53,MID
7,Benjamin,White,2,5,156,3054,35,491.2,649.0,159.0,12,734,130.0,15,0,5,16.1,50,DEF
8,Eddie,Nketiah,4,2,63,1071,16,128.2,213.4,598.0,5,161,93.1,2,0,3,1.8,63,FWD
9,Emile,Smith Rowe,0,2,18,161,5,64.3,36.6,39.0,0,60,13.8,0,0,0,0.4,56,MID
10,Bukayo,Saka,14,12,202,3183,42,1091.8,972.2,1164.0,19,678,322.8,12,0,6,25.6,80,MID
11,Takehiro,Tomiyasu,0,1,32,651,11,86.6,137.0,55.0,0,173,27.7,2,0,2,0.5,42,DEF
12,Aaron,Ramsdale,0,0,143,3420,43,0.0,761.4,0.0,9,664,76.2,14,0,1,11.4,48,GK
13,Gabriel,dos Santos Magalhães,3,0,146,3409,43,129.7,733.8,401.0,15,723,126.5,14,0,5,13.4,52,DEF
14,Nuno,Varela Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
15,Gabriel,Martinelli Silva,15,9,198,2789,33,838.1,844.2,1300.0,18,648,298.1,14,0,3,26.3,65,MID
16,Pablo,Marí Villar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
17,Lucas,Torreira di Pascua,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
18,Reiss,Nelson,3,3,42,202,3,99.2,169.8,155.0,5,127,42.4,1,0,0,0.0,47,MID
19,Matt,Turner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,38,GK
20,Fábio,Ferreira Vieira,1,2,40,500,5,180.1,115.2,123.0,2,134,41.4,2,0,0,0.1,56,MID
21,William,Saliba,2,1,117,2415,25,100.8,529.0,114.0,14,571,74.5,12,0,4,15.6,49,DEF
22,Marcus,Oliveira Alencar,0,0,1,1,0,0.2,0.0,0.0,0,3,0.0,0,0,0,0.1,46,MID
23,Gabriel,Fernando de Jesus,11,7,125,2064,23,407.3,594.2,1282.0,17,401,228.3,9,0,6,28.3,81,FWD
24,Leandro,Trossard,8,13,154,2237,38,687.1,620.0,859.0,8,494,216.6,8,0,1,7.2,66,MID
25,Jorge Luiz,Frello Filho,2,2,79,2127,23,254.1,386.4,97.0,5,379,73.9,9,0,4,1.9,57,MID
26,Oleksandr,Zinchenko,1,2,99,2122,28,387.7,405.0,190.0,8,500,98.3,10,0,3,9.0,50,DEF
27,Matthew,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
28,Ethan,Nwaneri,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
29,Lino,Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
30,Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39,GK
31,Amario,Cozier-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
32,Nathan,Butler-Oyedeji,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
33,Jakub,Kiwior,1,0,26,425,6,4.1,53.6,4.0,1,111,6.3,2,0,0,0.3,40,DEF
34,Reuell,Walters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
35,Mauro,Bandeira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
36,Philippe,Coutinho Correia,1,0,32,777,9,152.5,119.2,218.0,1,98,48.8,3,0,3,2.9,66,MID
37,Emiliano,Martínez Romero,0,0,135,3139,38,23.0,813.0,0.0,15,678,83.5,11,0,7,6.6,50,GK
38,Calum,Chambers,0,0,13,345,4,29.8,74.4,8.0,0,67,11.1,0,0,2,0.2,42,DEF
39,Lucas,Digne,1,0,50,1492,25,293.3,271.4,92.0,4,234,65.8,3,0,5,1.2,45,DEF
40,Bertrand,Traoré,2,0,20,226,1,30.7,82.0,79.0,1,57,19.0,1,0,1,0.1,49,MID
41,Robin,Olsen,0,0,10,280,8,0.0,83.2,0.0,1,62,8.2,1,0,0,1.4,39,GK
42,Morgan,Sanson,0,0,2,10,1,0.5,4.2,0.0,0,6,0.4,0,0,0,0.2,43,MID
43,John,McGinn,1,5,90,2692,31,349.2,375.0,326.0,3,354,105.1,10,0,7,0.6,51,MID
44,Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
45,Tyrone,Mings,1,3,130,3150,40,87.7,657.2,121.0,17,617,87.0,12,0,7,12.5,47,DEF
46,Ollie,Watkins,15,8,175,3129,40,408.5,792.0,1268.0,25,550,247.0,13,0,4,12.8,73,FWD
