,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
0,Folarin,Balogun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,45,FWD
1,Cédric,Alves Soares,0,0,10,223,3,51.4,56.4,10.0,0,56,11.9,0,0,0,0.4,40,DEF
2,Mohamed,Elneny,0,0,6,111,2,5.4,4.6,0.0,0,27,1.1,0,0,0,0.2,45,MID
3,Fábio,Ferreira Vieira,1,2,40,500,5,180.6,116.0,123.0,2,134,41.5,2,0,0,0.1,55,MID
4,Gabriel,dos Santos Magalhães,3,0,146,3409,43,131.4,743.8,401.0,15,723,127.7,14,0,5,29.6,50,DEF
5,Kai,Havertz,7,1,102,2565,31,536.6,476.4,1014.0,13,301,202.5,9,0,5,5.3,75,MID
6,Rob,Holding,1,0,21,562,13,10.3,152.0,54.0,0,120,21.6,0,0,0,0.2,45,DEF
7,Gabriel,Fernando de Jesus,11,7,125,2064,23,427.8,660.6,1331.0,17,401,241.9,9,0,6,5.7,80,FWD
8,Jorge Luiz,Frello Filho,2,2,79,2127,23,261.4,400.4,98.0,5,379,76.1,9,0,4,0.2,55,MID
9,Jakub,Kiwior,1,0,26,425,6,17.9,98.6,21.0,1,111,13.9,2,0,0,0.1,45,DEF
10,Marcus,Oliveira Alencar,0,0,1,1,0,0.2,0.0,0.0,0,3,0.0,0,0,0,0.2,45,MID
11,Gabriel,Martinelli Silva,15,9,198,2789,33,838.1,844.2,1300.0,18,648,298.1,14,0,3,14.0,80,MID
12,Eddie,Nketiah,4,2,63,1071,16,128.5,213.4,607.0,5,161,93.8,2,0,3,2.6,55,FWD
13,Martin,Ødegaard,15,8,212,3132,38,1140.3,971.8,934.0,30,813,304.9,13,0,4,22.5,85,MID
14,Thomas,Partey,3,0,86,2480,28,444.1,526.6,242.0,6,468,121.5,11,0,5,0.4,50,MID
15,Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID
16,Aaron,Ramsdale,0,0,143,3420,43,0.0,764.8,0.0,9,664,76.5,14,0,1,19.7,50,GK
17,Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,GK
18,Bukayo,Saka,14,12,202,3183,42,1106.1,1014.2,1214.0,19,678,333.4,12,0,6,57.4,85,MID
19,William,Saliba,2,1,117,2415,25,100.8,529.0,114.0,14,571,74.5,12,0,4,17.1,50,DEF
20,Albert,Sambi Lokonga,0,0,23,728,8,57.2,98.4,20.0,0,129,17.6,2,0,2,0.0,50,MID
21,Emile,Smith Rowe,0,2,18,161,5,74.4,53.8,41.0,0,60,16.7,0,0,0,0.2,55,MID
22,Nuno,Varela Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF
23,Kieran,Tierney,0,1,37,774,10,86.1,144.6,67.0,0,164,30.0,1,0,0,0.4,45,DEF
24,Takehiro,Tomiyasu,0,1,32,651,11,86.6,137.0,55.0,0,173,27.7,2,0,2,0.2,45,DEF
25,Leandro,Trossard,8,13,154,2237,38,711.4,666.0,875.0,8,494,225.2,8,0,1,5.8,70,MID
26,Matt,Turner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.1,40,GK
27,Benjamin,White,2,5,156,3054,35,492.5,655.4,159.0,12,734,130.8,15,0,5,10.2,55,DEF
28,Granit,Xhaka,7,8,153,2992,35,675.5,715.0,556.0,15,634,194.8,13,0,4,0.1,60,MID
29,Oleksandr,Zinchenko,1,2,99,2122,28,387.7,405.0,190.0,8,500,98.3,10,0,3,7.9,50,DEF
30,Declan,Rice,4,3,116,3272,50,539.3,789.0,226.0,12,622,155.5,9,0,5,6.5,55,MID
31,Reiss,Nelson,3,3,42,202,3,121.9,179.8,178.0,5,127,48.0,1,0,0,0.0,50,MID
32,Jurriën,Timber,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.4,50,DEF
33,Alexandre,Moreno Lopera,0,3,72,1325,10,321.1,254.4,151.0,5,278,72.3,7,0,3,0.1,50,DEF
34,Cameron,Archer,0,0,6,43,1,2.4,1.8,6.0,0,13,0.9,0,0,0,7.3,45,FWD
35,Leon,Bailey,4,5,100,1964,32,452.8,339.6,540.0,6,242,132.8,8,0,4,0.7,55,MID
36,Emiliano,Buendía Stati,5,3,117,2404,34,559.9,441.6,582.0,8,370,158.5,11,0,0,1.1,60,MID
37,Matty,Cash,0,2,57,1817,29,178.3,303.0,67.0,3,311,54.9,4,0,4,6.7,45,DEF
38,Calum,Chambers,0,0,13,345,4,29.8,74.4,8.0,0,67,11.1,0,0,2,1.4,40,DEF
39,Philippe,Coutinho Correia,1,0,32,777,9,152.5,119.2,218.0,1,98,48.8,3,0,3,0.5,60,MID
40,Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,FWD
41,Leander,Dendoncker,0,0,37,897,14,96.1,143.4,64.0,0,163,30.6,4,0,0,0.1,50,MID
42,Diego Carlos,Santos Silva,0,0,4,205,3,13.2,24.8,32.0,0,20,7.0,0,0,0,0.5,45,DEF
43,Lucas,Digne,1,0,50,1492,25,305.5,277.6,97.0,4,234,68.1,3,0,5,1.2,45,DEF
44,Douglas Luiz,Soares de Paulo,6,7,142,2922,35,668.6,698.4,261.0,17,594,162.7,13,1,6,3.2,55,MID
45,Jhon,Durán,0,0,11,126,4,13.4,12.8,51.0,0,15,7.4,0,0,1,0.1,50,FWD
46,Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
47,Tim,Iroegbunam,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
48,Boubacar,Kamara,0,1,44,1773,30,124.7,288.2,43.0,0,235,45.7,3,0,4,0.1,50,MID
49,Ezri,Konsa Ngoyo,0,0,110,3322,45,116.2,568.4,72.0,6,633,75.7,12,0,6,1.3,45,DEF
50,Emiliano,Martínez Romero,0,0,135,3139,38,23.0,835.2,0.0,15,678,85.7,11,0,7,8.1,50,GK
51,John,McGinn,1,5,90,2692,31,353.6,382.0,347.0,3,354,108.3,10,0,7,0.5,55,MID
52,Tyrone,Mings,1,3,130,3150,40,88.2,664.4,121.0,17,617,87.8,12,0,7,15.1,45,DEF
53,Robin,Olsen,0,0,10,280,8,0.0,83.2,0.0,1,62,8.2,1,0,0,0.9,40,GK
54,Jaden,Philogene-Bidace,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
55,Jacob,Ramsey,6,8,135,2634,33,537.8,653.4,456.0,13,470,164.7,11,0,5,0.3,60,MID
56,Morgan,Sanson,0,0,2,10,1,0.5,4.2,0.0,0,6,0.4,0,0,0,0.0,45,MID
57,Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
58,Youri,Tielemans,3,3,86,2341,49,486.9,541.8,191.0,6,461,122.1,6,0,4,1.3,60,MID
59,Bertrand,Traoré,2,0,20,226,1,30.7,82.0,79.0,1,57,19.0,1,0,1,0.1,50,MID
60,Ollie,Watkins,15,8,175,3129,40,420.3,837.6,1308.0,25,550,256.7,13,0,4,24.1,80,FWD
61,Wesley,Moraes Ferreira da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,FWD
62,Pau,Torres,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.2,45,DEF
63,Moussa,Diaby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,6.7,65,MID
