,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
0,Folarin,Balogun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,FWD
1,Cédric,Alves Soares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,DEF
2,Mohamed,Elneny,0,1,4,1,0,0.5,1.8,2.0,0,12,0.4,0,0,0,0.1,44,MID
3,Fábio,Ferreira Vieira,1,3,21,236,2,63.6,79.4,77.0,0,62,21.9,1,1,0,0.1,54,MID
4,Gabriel,dos Santos Magalhães,0,0,35,834,7,29.4,151.0,53.0,2,165,23.4,4,0,1,15.5,49,DEF
5,Kai,Havertz,2,1,31,722,6,131.0,133.2,182.0,0,86,44.6,3,0,4,1.5,71,MID
6,Gabriel,Fernando de Jesus,1,1,20,427,4,60.8,72.4,191.0,2,51,32.3,3,0,2,2.3,78,FWD
7,Jorge Luiz,Frello Filho,0,0,14,382,6,64.7,50.6,9.0,0,63,12.4,1,0,1,0.2,53,MID
8,Jakub,Kiwior,0,0,9,182,2,6.4,29.4,16.0,0,42,5.3,1,0,0,0.1,43,DEF
9,Marcus,Oliveira Alencar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
10,Gabriel,Martinelli Silva,1,2,33,799,8,301.8,163.0,288.0,0,139,75.0,3,0,1,7.4,78,MID
11,Eddie,Nketiah,5,2,51,790,5,95.3,182.4,289.0,5,162,55.9,6,0,2,9.8,57,FWD
12,Martin,Ødegaard,3,2,51,879,7,262.6,222.8,209.0,6,171,69.4,5,0,1,13.2,83,MID
13,Thomas,Partey,0,0,7,250,2,60.0,55.8,15.0,0,58,13.1,1,0,0,0.2,48,MID
14,Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID
15,Aaron,Ramsdale,0,0,17,450,4,0.0,55.8,0.0,0,77,5.6,2,0,0,7.6,47,GK
16,Rúnar Alex,Rúnarsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
17,Bukayo,Saka,4,7,79,1035,10,491.6,368.8,357.0,10,293,121.7,5,0,1,53.4,88,MID
18,William,Saliba,1,1,61,1170,10,56.1,257.4,45.0,5,272,36.0,6,0,0,34.3,55,DEF
19,Emile,Smith Rowe,0,1,9,104,0,17.2,33.8,41.0,0,24,9.1,1,0,0,0.1,53,MID
20,Kieran,Tierney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF
21,Takehiro,Tomiyasu,1,0,27,505,4,32.2,89.8,53.0,1,101,17.3,2,1,0,0.5,45,DEF
22,Leandro,Trossard,3,1,38,390,3,143.1,159.4,160.0,6,118,46.3,2,0,0,2.7,65,MID
23,Benjamin,White,1,1,54,948,9,176.2,229.0,77.0,7,239,48.2,5,0,2,12.9,57,DEF
24,Granit,Xhaka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60,MID
25,Oleksandr,Zinchenko,1,0,53,753,6,203.7,182.4,79.0,9,223,46.4,5,0,1,9.1,51,DEF
26,David,Raya Martin,0,0,35,720,6,0.0,112.0,0.0,2,152,11.1,4,0,0,4.4,49,GK
27,Declan,Rice,2,1,49,1113,9,170.2,281.2,101.0,5,231,55.3,6,0,0,5.4,54,MID
28,Reiss,Nelson,0,0,5,61,0,32.4,10.8,10.0,0,17,5.3,0,0,0,0.0,49,MID
29,Jurriën,Timber,0,0,0,49,0,2.4,3.6,0.0,0,3,0.6,0,0,1,0.5,46,DEF
30,Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
31,Charles,Sagoe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
32,Reuell,Walters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
33,Bradley,Ibrahim,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
34,Alexandre,Moreno Lopera,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,DEF
35,Leon,Bailey,3,3,39,386,7,141.7,178.4,145.0,3,118,46.5,1,0,1,1.0,55,MID
36,Emiliano,Buendía Stati,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,57,MID
37,Matty,Cash,2,1,45,1068,16,92.7,245.4,268.0,4,201,60.6,3,0,4,29.6,51,DEF
38,Calum,Chambers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,39,DEF
39,Philippe,Coutinho Correia,0,0,2,24,1,2.8,4.0,12.0,0,7,1.8,0,0,0,0.2,58,MID
40,Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,49,FWD
41,Leander,Dendoncker,0,0,4,7,0,0.8,7.4,0.0,0,10,0.8,0,0,0,0.0,49,MID
42,Diego Carlos,Santos Silva,0,0,10,363,7,13.8,71.6,49.0,0,61,13.4,0,0,0,0.3,44,DEF
43,Lucas,Digne,0,3,37,1160,18,400.5,247.2,83.0,2,216,73.0,2,0,4,6.3,47,DEF
44,Douglas Luiz,Soares de Paulo,5,2,67,1113,18,278.0,365.8,139.0,12,299,78.3,2,0,4,11.8,56,MID
45,Jhon,Durán,2,0,16,69,0,14.5,72.8,56.0,3,57,13.9,0,0,2,0.2,50,FWD
46,Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF
47,Tim,Iroegbunam,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
