,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
0,1,Liverpool,16,11,4,1,36,15,21,37,2.31,32.1,19.7,12.4,0.77,W D W W W,50573,Mohamed Salah - 11,Alisson,
1,2,Arsenal,16,11,3,2,33,15,18,36,2.25,29.0,12.1,16.9,1.06,W W W W L,60147,"Eddie Nketiah, Bukayo Saka - 5",David Raya,
2,3,Aston Villa,16,11,2,3,35,20,15,35,2.19,28.8,22.2,6.6,0.41,W W D W W,36211,Ollie Watkins - 8,Emiliano Martínez,
3,4,Manchester City,16,10,3,3,38,18,20,33,2.06,30.6,14.7,15.8,0.99,D D D L W,45700,Erling Haaland - 14,Ederson,
4,5,Tottenham,16,9,3,4,33,23,10,30,1.88,27.5,26.8,0.7,0.05,L L D L W,61581,Son Heung-min - 10,Guglielmo Vicario,
5,6,Manchester Utd,16,9,0,7,18,21,-3,27,1.69,25.5,26.6,-1.1,-0.07,W W L W L,73507,Scott McTominay - 5,André Onana,
6,7,Newcastle Utd,16,8,2,6,33,21,12,26,1.63,31.3,21.3,10.0,0.62,L W W L L,52075,"Callum Wilson, Alexander Isak - 7",Nick Pope,
7,8,Brighton,16,7,5,4,33,28,5,26,1.63,27.5,23.0,4.6,0.29,D W L W D,31596,Evan Ferguson - 6,Jason Steele,
8,9,West Ham,16,7,3,6,26,30,-4,24,1.5,23.2,28.5,-5.3,-0.33,W W D W L,62459,Jarrod Bowen - 9,Alphonse Areola,
9,10,Fulham,16,6,3,7,26,26,0,21,1.31,21.3,27.0,-5.8,-0.36,L W L W W,24298,"Willian, Raúl Jiménez - 4",Bernd Leno,
10,11,Brentford,16,5,4,7,23,22,1,19,1.19,28.5,20.5,8.0,0.5,L L W L L,17053,Bryan Mbeumo - 7,Mark Flekken,
11,12,Chelsea,16,5,4,7,26,26,0,19,1.19,30.3,23.8,6.4,0.4,D L W L L,39748,Nicolas Jackson - 6,Robert Sánchez,
12,13,Wolves,16,5,4,7,21,26,-5,19,1.19,20.4,27.3,-6.9,-0.43,W L L W D,31328,Hwang Hee-chan - 8,José Sá,
13,14,Bournemouth,16,5,4,7,21,30,-9,19,1.19,22.0,27.8,-5.8,-0.36,W W D W W,11018,Dominic Solanke - 8,Neto,
14,15,Crystal Palace,16,4,4,8,15,23,-8,16,1.0,19.4,21.8,-2.5,-0.15,L L D L L,24922,Odsonne Édouard - 6,Sam Johnstone,
15,16,Nott'ham Forest,16,3,5,8,17,28,-11,14,0.88,17.4,24.5,-7.2,-0.45,L L L L D,29268,Taiwo Awoniyi - 4,Matt Turner,
16,17,Everton,16,7,2,7,20,20,0,13,0.81,25.5,21.2,4.3,0.27,W L W W W,39059,Abdoulaye Doucouré - 6,Jordan Pickford,10-point deduction 1
17,18,Luton Town,16,2,3,11,17,32,-15,9,0.56,14.9,33.2,-18.3,-1.15,L W L L L,10882,Elijah Adebayo - 4,Thomas Kaminski,
18,19,Burnley,16,2,2,12,16,34,-18,8,0.5,14.4,26.7,-12.3,-0.77,L L W L D,21567,"Josh Brownhill, Lyle Foster - 3",James Trafford,
19,20,Sheffield Utd,16,2,2,12,12,41,-29,8,0.5,12.6,33.2,-20.6,-1.29,D L L L W,30656,"Oliver McBurnie, Gustavo Hamer... - 2",Wes Foderingham,
